#    L    TT             EE             TE             PP             TP          
   227    0.55711E+04    0.10295E+01    0.25426E+02    0.20445E+07    0.19595E+04
   228    0.55667E+04    0.10644E+01    0.27046E+02    0.20345E+07    0.19431E+04
   229    0.55618E+04    0.11010E+01    0.28672E+02    0.20246E+07    0.19269E+04
   230    0.55562E+04    0.11393E+01    0.30303E+02    0.20148E+07    0.19108E+04
   231    0.55500E+04    0.11794E+01    0.31939E+02    0.20051E+07    0.18948E+04
   232    0.55432E+04    0.12213E+01    0.33579E+02    0.19954E+07    0.18789E+04
   233    0.55359E+04    0.12652E+01    0.35221E+02    0.19858E+07    0.18632E+04
   234    0.55278E+04    0.13109E+01    0.36866E+02    0.19763E+07    0.18476E+04
   235    0.55192E+04    0.13585E+01    0.38512E+02    0.19669E+07    0.18321E+04
   236    0.55099E+04    0.14080E+01    0.40160E+02    0.19575E+07    0.18168E+04
   237    0.55000E+04    0.14594E+01    0.41808E+02    0.19482E+07    0.18015E+04
   238    0.54896E+04    0.15129E+01    0.43455E+02    0.19390E+07    0.17864E+04
   239    0.54786E+04    0.15683E+01    0.45102E+02    0.19299E+07    0.17714E+04
   240    0.54669E+04    0.16256E+01    0.46745E+02    0.19208E+07    0.17565E+04
   241    0.54547E+04    0.16851E+01    0.48387E+02    0.19118E+07    0.17418E+04
   242    0.54419E+04    0.17465E+01    0.50025E+02    0.19028E+07    0.17271E+04
   243    0.54286E+04    0.18101E+01    0.51659E+02    0.18939E+07    0.17126E+04
   244    0.54146E+04    0.18756E+01    0.53289E+02    0.18851E+07    0.16982E+04
   245    0.54001E+04    0.19433E+01    0.54913E+02    0.18763E+07    0.16839E+04
   246    0.53850E+04    0.20131E+01    0.56531E+02    0.18677E+07    0.16697E+04
   247    0.53695E+04    0.20849E+01    0.58142E+02    0.18590E+07    0.16556E+04
   248    0.53533E+04    0.21591E+01    0.59746E+02    0.18505E+07    0.16416E+04
   249    0.53367E+04    0.22353E+01    0.61341E+02    0.18420E+07    0.16278E+04
   250    0.53195E+04    0.23137E+01    0.62927E+02    0.18335E+07    0.16141E+04
   251    0.53018E+04    0.23942E+01    0.64504E+02    0.18251E+07    0.16004E+04
   252    0.52835E+04    0.24769E+01    0.66070E+02    0.18168E+07    0.15869E+04
   253    0.52649E+04    0.25616E+01    0.67625E+02    0.18085E+07    0.15735E+04
   254    0.52457E+04    0.26487E+01    0.69168E+02    0.18003E+07    0.15602E+04
   255    0.52259E+04    0.27378E+01    0.70699E+02    0.17922E+07    0.15470E+04
   256    0.52057E+04    0.28293E+01    0.72219E+02    0.17841E+07    0.15339E+04
   257    0.51851E+04    0.29228E+01    0.73719E+02    0.17760E+07    0.15209E+04
   258    0.51640E+04    0.30186E+01    0.75211E+02    0.17680E+07    0.15080E+04
   259    0.51424E+04    0.31166E+01    0.76681E+02    0.17601E+07    0.14952E+04
   260    0.51204E+04    0.32167E+01    0.78144E+02    0.17523E+07    0.14825E+04
   261    0.50979E+04    0.33190E+01    0.79577E+02    0.17444E+07    0.14699E+04
   262    0.50749E+04    0.34236E+01    0.81004E+02    0.17367E+07    0.14574E+04
   263    0.50518E+04    0.35303E+01    0.82415E+02    0.17290E+07    0.14450E+04
   264    0.50280E+04    0.36392E+01    0.83805E+02    0.17213E+07    0.14327E+04
   265    0.50038E+04    0.37502E+01    0.85165E+02    0.17137E+07    0.14205E+04
   266    0.49792E+04    0.38636E+01    0.86517E+02    0.17062E+07    0.14084E+04
   267    0.49541E+04    0.39789E+01    0.87841E+02    0.16987E+07    0.13964E+04
   268    0.49287E+04    0.40966E+01    0.89150E+02    0.16912E+07    0.13845E+04
   269    0.49027E+04    0.42163E+01    0.90436E+02    0.16838E+07    0.13726E+04
   270    0.48765E+04    0.43381E+01    0.91701E+02    0.16765E+07    0.13609E+04
   271    0.48499E+04    0.44619E+01    0.92944E+02    0.16692E+07    0.13493E+04
   272    0.48230E+04    0.45881E+01    0.94157E+02    0.16619E+07    0.13377E+04
   273    0.47957E+04    0.47160E+01    0.95356E+02    0.16547E+07    0.13262E+04
   274    0.47681E+04    0.48463E+01    0.96518E+02    0.16476E+07    0.13149E+04
   275    0.47402E+04    0.49784E+01    0.97666E+02    0.16405E+07    0.13036E+04
   276    0.47120E+04    0.51125E+01    0.98777E+02    0.16334E+07    0.12923E+04
   277    0.46833E+04    0.52487E+01    0.99873E+02    0.16264E+07    0.12812E+04
   278    0.46545E+04    0.53869E+01    0.10093E+03    0.16195E+07    0.12702E+04
   279    0.46253E+04    0.55269E+01    0.10196E+03    0.16126E+07    0.12592E+04
   280    0.45959E+04    0.56689E+01    0.10298E+03    0.16057E+07    0.12483E+04
   281    0.45663E+04    0.58128E+01    0.10396E+03    0.15989E+07    0.12375E+04
   282    0.45362E+04    0.59584E+01    0.10491E+03    0.15921E+07    0.12268E+04
   283    0.45060E+04    0.61059E+01    0.10583E+03    0.15854E+07    0.12162E+04
   284    0.44756E+04    0.62553E+01    0.10672E+03    0.15787E+07    0.12056E+04
   285    0.44450E+04    0.64064E+01    0.10758E+03    0.15721E+07    0.11952E+04
   286    0.44140E+04    0.65593E+01    0.10841E+03    0.15655E+07    0.11847E+04
   287    0.43829E+04    0.67138E+01    0.10921E+03    0.15589E+07    0.11744E+04
   288    0.43516E+04    0.68700E+01    0.10998E+03    0.15524E+07    0.11642E+04
   289    0.43201E+04    0.70278E+01    0.11072E+03    0.15459E+07    0.11540E+04
   290    0.42884E+04    0.71870E+01    0.11142E+03    0.15395E+07    0.11439E+04
   291    0.42566E+04    0.73485E+01    0.11209E+03    0.15331E+07    0.11338E+04
   292    0.42243E+04    0.75111E+01    0.11273E+03    0.15267E+07    0.11239E+04
   293    0.41922E+04    0.76743E+01    0.11333E+03    0.15204E+07    0.11139E+04
   294    0.41598E+04    0.78398E+01    0.11391E+03    0.15142E+07    0.11041E+04
   295    0.41275E+04    0.80060E+01    0.11444E+03    0.15079E+07    0.10944E+04
   296    0.40948E+04    0.81744E+01    0.11494E+03    0.15017E+07    0.10847E+04
   297    0.40621E+04    0.83428E+01    0.11542E+03    0.14956E+07    0.10750E+04
   298    0.40292E+04    0.85133E+01    0.11585E+03    0.14895E+07    0.10655E+04
   299    0.39963E+04    0.86854E+01    0.11624E+03    0.14834E+07    0.10559E+04
   300    0.39632E+04    0.88574E+01    0.11660E+03    0.14773E+07    0.10465E+04
   301    0.39301E+04    0.90309E+01    0.11693E+03    0.14713E+07    0.10371E+04
   302    0.38969E+04    0.92051E+01    0.11723E+03    0.14653E+07    0.10278E+04
   303    0.38637E+04    0.93808E+01    0.11749E+03    0.14594E+07    0.10186E+04
   304    0.38304E+04    0.95580E+01    0.11770E+03    0.14535E+07    0.10094E+04
   305    0.37972E+04    0.97351E+01    0.11788E+03    0.14476E+07    0.10002E+04
   306    0.37638E+04    0.99130E+01    0.11803E+03    0.14418E+07    0.99116E+03
   307    0.37304E+04    0.10092E+02    0.11813E+03    0.14360E+07    0.98215E+03
   308    0.36971E+04    0.10272E+02    0.11821E+03    0.14302E+07    0.97321E+03
   309    0.36638E+04    0.10452E+02    0.11824E+03    0.14245E+07    0.96432E+03
   310    0.36304E+04    0.10633E+02    0.11824E+03    0.14188E+07    0.95550E+03
   311    0.35971E+04    0.10815E+02    0.11820E+03    0.14132E+07    0.94675E+03
   312    0.35639E+04    0.10996E+02    0.11813E+03    0.14075E+07    0.93805E+03
   313    0.35307E+04    0.11179E+02    0.11801E+03    0.14019E+07    0.92942E+03
   314    0.34976E+04    0.11362E+02    0.11786E+03    0.13964E+07    0.92085E+03
   315    0.34645E+04    0.11544E+02    0.11767E+03    0.13908E+07    0.91234E+03
   316    0.34315E+04    0.11727E+02    0.11744E+03    0.13853E+07    0.90389E+03
   317    0.33986E+04    0.11909E+02    0.11718E+03    0.13799E+07    0.89551E+03
   318    0.33658E+04    0.12093E+02    0.11688E+03    0.13744E+07    0.88719E+03
   319    0.33331E+04    0.12276E+02    0.11654E+03    0.13690E+07    0.87893E+03
